asgn_sno,appl_ymd,asgn_ymd,asgn_cancel_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,asgn_cancel_why,main_edf,trdp_area,admdng_nm,grade_facil_gbn
270,20040601,20040705,20070628,까치산 샤브샤브 마라탕&마라상궈,"서울특별시 강서구 강서로5나길 74, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  913번지 3호  (지상 1층),3150000-101-2003-00479,한식,지정기준부적합,매운탕,135.3,화곡제1동,상수도전용
6,20100531,20100803,20111031,다래향,"서울특별시 강서구 강서로52길 16, 1층 (내발산동, 우장산동)",서울특별시 강서구 내발산동  652번지 0호  외 1필지 (지상 1층),3150000-101-2008-00104,중국식,기준미달,자장면,125.4,우장산동,상수도전용
26,20050622,20050712,20060406,금별맥주 송정역점,"서울특별시 강서구 송정로 68, 1층 (공항동)",서울특별시 강서구 공항동  53번지 109호  (지상 1층),3150000-101-1995-05101,한식,영업자지위승계,삼겹살,68.88,공항동,상수도전용
61,20090727,20090727,20140424,봉래헌(蓬萊軒),"서울특별시 강서구 방화대로 94, 메이필드호텔 1동 1층 (외발산동)",서울특별시 강서구 외발산동  426번지  메이필드호텔,3150000-101-2002-00629,한식,행정처분,코스정식,429,발산제1동,상수도전용
75,20020315,20020412,20111031,달빛 오징어 광어 화곡점,"서울특별시 강서구 까치산로 30, (화곡동)",서울특별시 강서구 화곡동  105번지 6호  ,3150000-101-1987-05857,한식,기준미달,생버섯불고기,59.82,화곡본동,상수도전용
80,20020315,20020412,20131202,원조마산아구찜,"서울특별시 강서구 강서로5나길 31, 1층 (화곡동)",서울특별시 강서구 화곡동  906번지 14호  (지상 1층),3150000-101-1993-06542,한식,지정취소,아구찜,102.09,화곡제1동,상수도전용
82,20090805,20090805,20111031,목포식당,"서울특별시 강서구 공항대로59다길 276, (염창동)",서울특별시 강서구 염창동  283번지 1호  ,3150000-101-1990-05636,한식,기준미달,연포탕,85.98,염창동,상수도전용
74,20020315,20080709,20111031,일등수산,"서울특별시 강서구 까치산로 38, 1층 (화곡동)",서울특별시 강서구 화곡동  98번지 63호  ,3150000-101-1991-06062,일식,기준미달,순대국,94.62,화곡본동,상수도전용
348,20080709,20080709,20161103,양천골 용대리 황태세상,"서울특별시 강서구 양천로49길 20, B동 1층 (가양동, 1동 닛시빌딩)",서울특별시 강서구 가양동  154번지 5호 B 닛시빌딩 (지상 1층),3150000-101-2004-00099,한식,2016년 모범음식점 평가기준 미달,황태해장국,99,가양제1동,상수도전용
208,20020315,20020412,20130528,낙원(樂源),"서울특별시 강서구 방화대로 94, 1층 (외발산동, 1동 메이필드호텔)",서울특별시 강서구 외발산동  426번지 1호  메이필드호텔 (지상 1층),3150000-101-1983-06229,한식,행정처분,"소,갈비",614.69,발산제1동,상수도전용
1,20141104,20141216,20181210,편편집 발산역점,"서울특별시 강서구 강서로54길 14, 2층 (등촌동, 3동 윤강빌딩)",서울특별시 강서구 등촌동  673번지 3호  윤강빌딩(지상 2층),3150000-101-2012-00380,한식,자진취하,돼지갈비,278.12,등촌제3동,상수도전용
80,20090805,20090805,20211202,들내음,"서울특별시 강서구 금낭화로24길 29-13, 1층 (방화동, 3동)",서울특별시 강서구 방화동  350번지 0호  (지상 1층),3150000-101-2008-00047,한식,,들깨칼국수,198.24,방화제3동,상수도전용
314,20080801,20080709,20190605,초가집,"서울특별시 강서구 강서로5나길 50, 1층 104,106~107호 (화곡동, 1동 일성스카이빌)","서울특별시 강서구 화곡동  914번지 3호  외4필지 일성스카이빌 (지상 1층) 104,106,107호",3150000-101-2008-00037,한식,행정처분,낙지철판,203.58,화곡제1동,상수도전용
173,20020315,20020412,20080709,상수김치삼겹살 강서직영점,"서울특별시 강서구 공항대로46길 82, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1117번지 2호  지상1층,3150000-101-1995-05087,회집,지정취소,광어회,84.93,화곡제6동,상수도전용
