perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-2022-00567,2022-09-13,,"서울특별시 강서구 까치산로4길 38, 1층 102호 (화곡동, 삼성위브빌)",7726,강서바베큐통닭,2022-09-15 0:22:26,호프/통닭,,186242.8168,448771.447,126.8454282,37.54337679
3150000-101-2022-00568,2022-09-14,070 4414 2290,"서울특별시 강서구 공항대로45길 68-6, 2층 203호 (등촌동, 서광등촌마을아파트)",7566,아구를 담다,2022-10-16 2:40:00,한식,,187334.4716,450632.3061,126.8563447,37.56029369
3150000-101-2022-00570,2022-09-15,02 2688 1451,"서울특별시 강서구 공항대로46길 85, 3층 (화곡동)",7657,윤(Yoon)라이브,2022-09-17 0:22:25,한식,,186779.6723,450015.9402,126.8507967,37.55469037
3150000-101-2022-00571,2022-09-15,02 3665 0608,"서울특별시 강서구 강서로 415, 갤럭시인텔리젼스 1층 101호 (마곡동)",7794,광선집 돼지특수부위전문 발산역직영점,2023-03-17 2:40:00,한식,기타,185714.4325,451160.5091,126.8401443,37.56509554
3150000-101-2022-00572,2022-09-15,,"서울특별시 강서구 마곡서로 152, 두산더랜드타워 A동 2층 223호 (마곡동)",7788,락스타,2022-09-17 0:22:25,한식,,184526.0844,451722.6506,126.8282608,37.57020591
3150000-101-2022-00573,2022-09-16,02 3664 6082,"서울특별시 강서구 공항대로65길 26, 태선빌딩 1층 102호 (염창동)",7560,60계 서울목동염창점,2024-01-25 2:40:00,호프/통닭,,188313.7096,449763.8651,126.8661371,37.55239877
3150000-101-2022-00574,2022-09-16,02 6737 6735,"서울특별시 강서구 마곡서로 170, 마곡시티오피스텔 1층 106호 (마곡동)",7788,빽돈(마곡나루역점),2022-11-24 2:40:00,한식,,184524.2663,451903.9402,126.8282427,37.571854
3150000-101-2022-00575,2022-09-16,02 2696 1226,"서울특별시 강서구 강서로17길 35, 우성빌딩 1층 101호 (화곡동)",7770,처갓집양념치킨 까치산점,2024-04-07 2:40:00,호프/통닭,,186126.6668,447816.2299,126.8442667,37.534693
3150000-101-2022-00577,2022-09-19,070 8270 9966,"서울특별시 강서구 마곡중앙6로 63, 마곡테크노타워 1층 108호 (마곡동)",7803,맥SOMENOISE,2022-10-21 2:40:00,기타,,185299.3927,450924.8451,126.8359939,37.56295314
3150000-101-2022-00578,2022-09-19,02 2665 9881,"서울특별시 강서구 하늘길 112, 김포국제공항 국내선 3층 (공항동)",7505,시나몬번,2023-07-21 2:40:00,기타,,183007.2201,450515.642,126.8130722,37.55923311
3150000-101-2022-00579,2022-09-19,02 2668 6112,"서울특별시 강서구 강서로 451, 스카이오피스텔 1층 105,106호 (마곡동)",7792,야스버거,2022-10-21 2:40:00,기타,,185808.7491,451520.3015,126.8410875,37.56836638
3150000-101-2022-00580,2022-09-20,02 6989 9997,"서울특별시 강서구 마곡서로 152, 두산더랜드타워 B동 1층 112,113호 (마곡동)",7788,막회집,2024-10-24 2:40:00,횟집,,184526.0844,451722.6506,126.8282608,37.57020591
3150000-101-2022-00582,2022-09-20,,"서울특별시 강서구 까치산로17길 36, 경동운수(주) 1층 (화곡동)",7663,봄이오,2024-10-13 2:40:00,한식,,186538.0809,449633.1137,126.8483808,37.55121012
3150000-101-2022-00583,2022-09-20,,"서울특별시 강서구 마곡중앙6로 63, 마곡테크노타워 1층 111호 (마곡동)",7803,야키토리 우마이,2024-05-08 2:40:00,일식,,185299.3927,450924.8451,126.8359939,37.56295314
3150000-101-2022-00584,2022-09-21,,"서울특별시 강서구 마곡중앙4로 22, 파인스퀘어 A동 1층 103호 (마곡동)",7631,베어스타코 마곡점,2024-08-26 2:40:00,"외국음식전문점(인도,태국등)",,184844.8416,450680.3656,126.8314484,37.5607306
3150000-101-2022-00585,2022-09-21,,"서울특별시 강서구 화곡로21길 71, 1층 103호 (화곡동, 스위트드림아파트)",7708,굽네치킨 화곡3동점,2022-09-24 0:22:26,호프/통닭,,185448.9839,449089.705,126.8374898,37.54627005
3150000-101-2022-00586,2022-09-22,,"서울특별시 강서구 강서로56가길 47, 동진빌딩 1층 102호 (등촌동)",7583,만월,2024-12-01 2:40:00,기타,,185803.5688,451060.3222,126.8410357,37.56418475
3150000-101-2022-00587,2022-09-23,,"서울특별시 강서구 공항대로41길 65, 그랜드종합상가 1층 106,106-1호 (등촌동)",7586,파슷타애요 강서점,2023-11-10 2:40:00,일식,,186336.0038,450960.6146,126.84636,37.56327831
3150000-101-2022-00588,2022-09-23,,"서울특별시 강서구 등촌로35길 136, 1층 (등촌동)",7733,샌드브라더스(sand brothers),2023-10-29 2:40:00,기타,,187794.6204,448320.91,126.8609462,37.539281
3150000-101-2022-00590,2022-09-26,,"서울특별시 강서구 마곡중앙4로 18, 마곡그랑트윈타워 B동 1층 101,102호 (마곡동)",7631,화화돼지왕갈비(서울마곡점),2024-03-02 2:40:00,한식,,184786.585,450708.875,126.8308659,37.56098977
3150000-101-2022-00591,2022-09-26,,"서울특별시 강서구 가로공원로76길 55, 1층 (화곡동)",7765,옛날통닭,2023-06-24 2:40:00,호프/통닭,,185623.2588,448056.9097,126.8392326,37.536881
3150000-101-2022-00593,2022-09-27,,"서울특별시 강서구 마곡서로 168, 마곡럭스나인오피스텔엘동 L동 1층 105호 (마곡동)",7788,크로,2025-01-22 2:40:00,일식,,184519.6951,451868.4224,126.828197,37.57153111
3150000-101-2022-00594,2022-09-27,,"서울특별시 강서구 우장산로 7, 장원빌딩 1층 105호 (내발산동)",7652,소풍,2024-08-03 2:40:00,분식,,185617.9308,450298.274,126.8391793,37.55725704
3150000-101-2022-00595,2022-09-28,02 2662 3197,"서울특별시 강서구 하늘길 112, 국내선청사 4층 (공항동)",7505,홍대개미 김포공항점,2023-10-18 2:40:00,한식,,183007.2201,450515.642,126.8130722,37.55923311
3150000-101-2022-00600,2022-09-29,02 3662 0614,"서울특별시 강서구 공항대로61길 17, 1층 (등촌동)",7563,맛전 빈대떡,2022-10-01 0:22:26,한식,,188049.7913,449970.4391,126.8634979,37.55427672
3150000-101-2022-00602,2022-09-29,02 2138 0018,"서울특별시 강서구 공항대로 290, 1층 105호 (내발산동)",7646,투썸플레이스 발산역사거리점,2023-11-19 2:40:00,기타,,185769.0389,450647.9247,126.8406904,37.56043568
3150000-101-2022-00603,2022-09-29,,"서울특별시 강서구 마곡중앙2로 35, 이너매스마곡Ⅱ 1층 116호 (마곡동)",7806,활어회담,2024-08-10 2:40:00,일식,,184971.5227,450643.0564,126.8327152,37.56039142
3150000-101-2022-00604,2022-09-29,,"서울특별시 강서구 강서로 429, 마곡오드카운티1차 106호 (마곡동)",7792,MINIMALISM(미니멀리즘),2024-10-28 2:40:00,기타,,185750.8394,451301.7054,126.8405084,37.56637914
3150000-101-2022-00607,2022-09-30,02 2088 1195,"서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 B동 1층 115호 (마곡동)",7788,사쿠라테이엔 마곡점,2022-11-03 2:40:00,일식,,184655.2643,451864.2982,126.8295526,37.57149362
3150000-101-2022-00608,2022-09-30,,"서울특별시 강서구 곰달래로 153, 1층 (화곡동)",7759,마니달오 화곡점,2024-02-23 2:40:00,기타,,186668.9152,447636.6513,126.8496892,37.53306047
3150000-101-2022-00610,2022-09-30,,"서울특별시 강서구 곰달래로 190-1, 1층 (화곡동)",7782,번쩍피자,2024-04-21 2:40:00,분식,,187031.7118,447656.2954,126.8533171,37.53323905
3150000-101-2022-00613,2022-10-04,070 7817 8571,"서울특별시 강서구 강서로17길 60, 1층 (화곡동)",7769,드립하우스,2022-10-16 2:40:00,한식,,186012.94,447837.8133,126.8431294,37.53488921
3150000-101-2022-00614,2022-10-04,02 6368 6103,"서울특별시 강서구 공항대로 423, 신성빌딩 2층 (등촌동)",7571,생선굽찌,2024-12-03 0:08:00,중국식,,187062.1799,450374.1045,126.8536218,37.5579464
3150000-101-2022-00615,2022-10-05,,"서울특별시 강서구 양천로24길 124, 1층 (방화동)",7606,형제해장국,2024-10-31 2:40:00,일식,,183597.7124,451730.6668,126.8189771,37.57027879
3150000-101-2022-00617,2022-10-06,,"서울특별시 강서구 화곡로 296, 제지층 제비01호-제비17호,주방7호 (화곡동, 강서아이파크)",7663,털보마라탕 화곡점,2023-11-22 2:40:00,중국식,,186594.2656,449819.1839,126.8489427,37.55290167
3150000-101-2022-00620,2022-10-06,070 7776 3981,"서울특별시 강서구 강서로7길 136, 1층 103호 (화곡동)",7775,corner to corner(코너투코너),2022-11-11 2:40:00,경양식,,185799.5271,447417.8899,126.8409953,37.53107173
3150000-101-2022-00621,2022-10-06,02 3662 1826,"서울특별시 강서구 마곡중앙6로 93, 열린프라자 3층 302호 (마곡동)",7803,발렌타인 하우스 BAR,2024-04-14 2:40:00,기타,,185590.1505,450885.1857,126.8389015,37.5625926
3150000-101-2022-00622,2022-10-06,02 2665 0798,"서울특별시 강서구 마곡서로 101, 동익드미라벨복합빌딩 1층 161호 (마곡동)",7798,열정국밥,2024-09-11 2:40:00,한식,,184345.724,451171.2877,126.8264572,37.56519352
3150000-101-2022-00623,2022-10-06,,"서울특별시 강서구 곰달래로59길 11, 1층 101호 (화곡동)",7741,틸란 목동사거리점,2022-10-08 0:22:25,기타,,187810.0925,447864.3317,126.8611009,37.53513029
