asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
11,20211031,20211115,전준수명품청기와감자탕 쑥고개점,"서울특별시 관악구 신림로 206, 1층 (신림동)",서울특별시 관악구 신림동  96번지 3호  ,3200000-101-2005-00542,정종/대포집/소주방,,82.5,서림동,상수도전용,28869298
13,20211031,20211115,우리동네고기집,"서울특별시 관악구 인헌6길 24, (봉천동,지상2층)",서울특별시 관악구 봉천동  1636번지 21호  지상2층,3200000-101-2010-00522,한식,,132,인헌동,,7071635100
4,20211031,20211115,숙성원 족발. 보쌈,"서울특별시 관악구 남현1길 42, (남현동)",서울특별시 관악구 남현동  1062번지 23호  ,3200000-101-1989-00206,한식,,128.92,남현동,상수도전용,25821544
10,20211031,20211115,은행나무집,"서울특별시 관악구 관악로 104, 1층 (봉천동)",서울특별시 관악구 봉천동  1594번지 1호  ,3200000-101-2016-00177,한식,,156.34,낙성대동,상수도전용,
6,20211031,20211115,홍주고깃간,"서울특별시 관악구 남현1길 59, (남현동)",서울특별시 관악구 남현동  1060번지 6호  ,3200000-101-2001-04526,기타,,74.05,남현동,상수도전용,25821925
2,20211031,20211115,일구칠구 매운탕,"서울특별시 관악구 난곡로66가길 6, 1층 (신림동)",서울특별시 관악구 신림동  528번지 19호  ,3200000-101-2021-00242,한식,,100.77,신사동,상수도전용,
89,20120629,20181109,굿맘할매순대국 & 양선지해장국,"서울특별시 관악구 봉천로 594, (봉천동)",서울특별시 관악구 봉천동  1632번지 1호  ,3200000-101-2001-09538,한식,,78.2,인헌동,,
56,20170920,20181109,풍무 양꼬치,"서울특별시 관악구 시흥대로 572, 2층 (신림동)",서울특별시 관악구 신림동  1643번지 6호  ,3200000-101-2011-00363,중국식,,363.4,조원동,,28099292
28,20050614,20181109,신안산낙지철판,"서울특별시 관악구 봉천로 213-20, 1층 (봉천동)",서울특별시 관악구 봉천동  972번지 29호  ,3200000-101-2003-00211,한식,,78.89,보라매동,,28861265
52,20170920,20181109,한고을식당,"서울특별시 관악구 난곡로 100, A동 1층 101호 (신림동, 파로스프라자)",서울특별시 관악구 신림동  1738번지  ,3200000-101-2014-00393,한식,,143.2,난향동,상수도전용,
31,20050614,20181109,산야로,"서울특별시 관악구 관악로 111, (봉천동,지상1층)",서울특별시 관악구 봉천동  1592번지 13호  지상1층,3200000-101-2002-00003,한식,,183.6,청룡동,상수도전용,28893390
8,20211031,20211115,밀향기,"서울특별시 관악구 봉천로 593, 1층 102호 (봉천동)",서울특별시 관악구 봉천동  1658번지 10호  ,3200000-101-2000-10423,분식,,56.52,인헌동,상수도전용,28865479
3,20211031,20211115,서천아구대구뽈찜탕,"서울특별시 관악구 남현1길 40, 유일빌딩 1층 (남현동)",서울특별시 관악구 남현동  1062번지 1호  유일빌딩,3200000-101-2018-00279,한식,,91.6,남현동,,
125,20080710,20181109,시골명가,"서울특별시 관악구 남현1길 40, 2층 (남현동)",서울특별시 관악구 남현동  1062번지 1호  ,3200000-101-2005-00483,한식,,155.33,남현동,상수도전용,25863011
16,20230831,20231204,키라키라윤 샤로수길점,"서울특별시 관악구 관악로 154-5, 1층 (봉천동)",서울특별시 관악구 봉천동  1598번지 2호  ,3200000-101-2022-00234,한식,,90.91,낙성대동,상수도전용,
10,20200831,20201111,만성찬팅,"서울특별시 관악구 신림로 322-4, 지하1층 (신림동)",서울특별시 관악구 신림동  75번지 41호  ,3200000-101-2013-00369,호프/통닭,꿔바로우,320.73,서원동,상수도전용,28831978
9,20211031,20211115,정숙성,"서울특별시 관악구 남부순환로226길 31, 1층 (봉천동)",서울특별시 관악구 봉천동  1603번지 3호  ,3200000-101-2021-00062,한식,,189.81,낙성대동,상수도전용,
23,20080710,20181109,대호아구집,"서울특별시 관악구 남부순환로 1829-9, (봉천동)",서울특별시 관악구 봉천동  858번지 4호  ,3200000-101-1983-00400,한식,,110.34,행운동,상수도전용,28891700
