asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
16,20131201,20131202,애슐리퀸즈 NC 강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),3150000-101-2011-00294,뷔페식,샐러드바,754.05,등촌제3동,상수도전용,226679804
30,20070608,20080709,하남 돼지 집 발산점,"서울특별시 강서구 강서로54길 49, 신영빌딩 1층 (등촌동)",서울특별시 강서구 등촌동  671번지 4호  신영빌딩,3150000-101-2001-09480,한식,생삼겹살,152.3,등촌제3동,상수도전용,236639233
23,20151118,20151118,어다리횟집 발산점,"서울특별시 강서구 강서로54길 14, 윤강빌딩 3층 (등촌동)",서울특별시 강서구 등촌동  673번지 3호  윤강빌딩,3150000-101-2014-00430,일식,모듬회,285.9,등촌제3동,상수도전용,236640015
12,20151118,20151118,베이징화곡본점,"서울특별시 강서구 화곡로 118, 베이징정 2~4층 (화곡동)",서울특별시 강서구 화곡동  1070번지 44호  베이징정,3150000-101-2014-00419,중국식,전가복,818.91,화곡제1동,상수도전용,226997275
22,20171124,20171124,만석장 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항 롯데몰 지하 1층 (방화동)",서울특별시 강서구 방화동  886번지 0호  김포공항 롯데몰 (지하 1층),3150000-101-2017-00331,한식,두부한정식,159.14,방화제2동,상수도전용,261165000
24,20171124,20171124,온더보더 롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하2층 (방화동)","서울특별시 강서구 방화동  882번지 1호  김포공항, 롯데몰, 스카이시티",3150000-101-2017-00401,"외국음식전문점(인도,태국등)",타코,359.55,방화제2동,상수도전용,261165182
9,20171124,20171124,함평해장,"서울특별시 강서구 마곡동로 55, 1층 103호 (마곡동, 가양 1동 마커스빌딩)",서울특별시 강서구 마곡동  774번지 12호  마커스빌딩 (지상 1층)-103,3150000-101-2017-00480,한식,"냉면, 갈비찜",241.52,가양제1동,상수도전용,220847000
23,20131201,20131202,주식회사 딘타이펑코리아,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 B2층 (방화동)","서울특별시 강서구 방화동  882번지 1호  김포공항, 롯데몰, 스카이시티",3150000-101-2011-00380,중국식,？섶,300.01,방화제2동,상수도전용,261165537
7,20111005,20111031,현족당,"서울특별시 강서구 강서로34길 18, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동  1062번지 4호  (지상 1층),3150000-101-2003-00170,한식,칼국수,49.5,우장산동,상수도전용,226927862
56,20020315,20080709,씨제이푸드빌(주) 빕스 마곡원그로브점,"서울특별시 강서구 공항대로 165, 2층 일부호 (마곡동)",서울특별시 강서구 마곡동  769번지  ,3150000-101-1997-03594,경양식,스테이크,1006.87,공항동,상수도전용,236611997
1,20191017,20191203,새벽집,"서울특별시 강서구 양천로 401, A동 2층 206호 (가양동, 1동 강서한강자이타워)",서울특별시 강서구 가양동  1498번지 0호 A 강서한강자이타워 (지상 2층)-206,3150000-101-2014-00308,한식,순두부,108.25,가양제1동,상수도전용,226385787
4,20191017,20191203,초애삼계탕마곡점,"서울특별시 강서구 공항대로 205, 에스에이치빌딩 3층 304~305호 (마곡동)","서울특별시 강서구 마곡동  774번지  에스에이치빌딩(지상 3층)-304,5",3150000-101-2019-00141,한식,삼계탕,171.82,가양제1동,상수도전용,236637767
7,20191017,20191203,(주)이춘복참치발산역점,"서울특별시 강서구 공항대로 287, 화인빌딩 1층 (등촌동)",서울특별시 강서구 등촌동  673번지 5호  화인빌딩,3150000-101-2017-00596,일식,일품참치,680.7,등촌제3동,상수도전용,236624558
6,20191017,20191203,송화명가,"서울특별시 강서구 강서로45나길 47, 선재빌딩 1층 (내발산동)",서울특별시 강서구 내발산동  718번지 13호  선재빌딩 (지상 1층),3150000-101-2018-00527,한식,한우생등심,280.5,발산제1동,상수도전용,226614360
6,20161103,20161103,샤브미 강서점,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",서울특별시 강서구 등촌동  639번지 11호  홈플러스강서점앤본사사옥,3150000-101-2006-00327,한식,샤브샤브,334,등촌제1동,상수도전용,236648383
7,20171124,20171124,해탄 발산본점,"서울특별시 강서구 마곡중앙6로 85, 2층 201호 (마곡동, 가양 1동 마곡사이언스파크뷰)",서울특별시 강서구 마곡동  795번지 5호  마곡사이언스파크뷰 (지상 2층)-201,3150000-101-2017-00337,한식,갈락찜,197.88,가양제1동,상수도전용,226597577
1,20231020,20231212,신안갯벌세발낙지,"서울특별시 강서구 우장산로15길 3, 1층 (화곡동)",서울특별시 강서구 화곡동  1098번지 8호  ,3150000-101-2023-00184,한식,낙지,140.13,화곡제6동,상수도전용,226954996
2,20191017,20191203,명량,"서울특별시 강서구 양천로 401, A동 2층 210호 (가양동, 1동 강서한강자이타워)",서울특별시 강서구 가양동  1498번지 0호 A 강서한강자이타워 (지상 2층)-210,3150000-101-2014-00262,한식,고등어조림,95.9,가양제1동,상수도전용,226385848
